Participant,Image,Choice,RT,time_condition
Participant,Image,Response,RT,1s
A2,images/image_28.jpg,up,0.0418164000147953,1s
A2,images/image_29.jpg,left,0.7779806000180542,1s
A2,images/image_30.jpg,left,0.2952994999941438,1s
A2,images/image_26.jpg,left,1.9135472000343725,5s
A2,images/image_27.jpg,left,1.304333799984306,5s
A2,images/image_28.jpg,up,2.865452000056393,5s
A2,images/image_29.jpg,up,1.1539250999921933,5s
A2,images/image_30.jpg,left,1.0132910999236628,5s
A2,images/image_31.jpg,,1.0,1s
A2,images/image_32.jpg,,1.0,1s
A2,images/image_33.jpg,,1.0,1s
A2,images/image_34.jpg,left,0.2475331999594345,1s
A2,images/image_35.jpg,left,0.2955444999970495,1s
A2,images/image_31.jpg,up,2.783492300077341,5s
A2,images/image_32.jpg,up,2.5806720999535173,5s
A2,images/image_33.jpg,up,1.8855167999863625,5s
A2,images/image_34.jpg,left,2.1096433999482542,5s
A2,images/image_35.jpg,left,1.0593713999260217,5s
A3,images/image_1.jpg,,1.0,1s
A3,images/image_2.jpg,left,0.4918800999876112,1s
A3,images/image_3.jpg,,1.0,1s
A3,images/image_4.jpg,,1.0,1s
A3,images/image_5.jpg,left,0.135911599965766,1s
A3,images/image_1.jpg,left,2.990968699916266,5s
A3,images/image_2.jpg,up,1.0613781999563798,5s
A3,images/image_3.jpg,left,0.8330543000483885,5s
A3,images/image_4.jpg,left,1.4298392999917269,5s
A3,images/image_5.jpg,up,4.026503299945034,5s
A3,images/image_6.jpg,,1.0,1s
A3,images/image_7.jpg,up,0.7181023999582976,1s
A3,images/image_8.jpg,up,0.475410700077191,1s
A3,images/image_9.jpg,up,0.4071092000231147,1s
A3,images/image_10.jpg,,1.0,1s
A3,images/image_6.jpg,,5.0,5s
A3,images/image_7.jpg,up,1.4173531000269577,5s
A3,images/image_8.jpg,up,0.4765047000255435,5s
A3,images/image_9.jpg,up,0.6702116999076679,5s
A3,images/image_10.jpg,left,0.6884038000134751,5s
A3,images/image_11.jpg,,1.0,1s
A3,images/image_12.jpg,left,0.4795883999904617,1s
A3,images/image_13.jpg,left,0.5292184998979792,1s
A3,images/image_14.jpg,left,0.683925100020133,1s
A3,images/image_15.jpg,up,0.7819345999741927,1s
A3,images/image_11.jpg,left,1.4237741000251845,5s
A3,images/image_12.jpg,left,0.4457437000237405,5s
A3,images/image_13.jpg,left,0.2484160000458359,5s
A3,images/image_14.jpg,left,0.7899500000057742,5s
A3,images/image_15.jpg,up,2.624100999906659,5s
A3,images/image_16.jpg,left,0.9229653999209404,1s
A3,images/image_17.jpg,left,0.4565009999787435,1s
A3,images/image_18.jpg,up,0.9632624000078068,1s
A3,images/image_19.jpg,,1.0,1s
A3,images/image_20.jpg,,1.0,1s
A3,images/image_16.jpg,left,2.1636847999179736,5s
A3,images/image_17.jpg,left,0.6988331000320613,5s
A3,images/image_18.jpg,up,0.687255600001663,5s
A3,images/image_19.jpg,left,1.1224231000524014,5s
A3,images/image_20.jpg,left,0.8026238000020385,5s
A3,images/image_21.jpg,up,0.9615316999843344,1s
A3,images/image_22.jpg,up,0.4153608999913558,1s
A3,images/image_23.jpg,up,0.9382576999487356,1s
A3,images/image_24.jpg,up,0.564461600035429,1s
A3,images/image_25.jpg,,1.0,1s
A3,images/image_21.jpg,up,0.8922864000778645,5s
A3,images/image_22.jpg,up,0.2010199000360444,5s
A3,images/image_23.jpg,up,0.2794363000430166,5s
A3,images/image_24.jpg,up,0.6145060999551788,5s
A3,images/image_25.jpg,left,0.6348187999101356,5s
A3,images/image_26.jpg,,1.0,1s
A3,images/image_27.jpg,left,0.7284356000600383,1s
A3,images/image_28.jpg,,1.0,1s
A3,images/image_29.jpg,,1.0,1s
A3,images/image_30.jpg,left,0.973143499926664,1s
A3,images/image_26.jpg,up,1.2831747999880465,5s
A3,images/image_27.jpg,left,0.7324827000265941,5s
A3,images/image_28.jpg,left,0.7722032000310719,5s
A3,images/image_29.jpg,left,1.0209236000664532,5s
A3,images/image_30.jpg,left,0.7622045000316575,5s
