Participant,Image,Response,RT
A3,images/image_1.jpg,,1.0
A3,images/image_2.jpg,left,0.4918800999876112
A3,images/image_3.jpg,,1.0
A3,images/image_4.jpg,,1.0
A3,images/image_5.jpg,left,0.135911599965766
A3,images/image_1.jpg,left,2.990968699916266
A3,images/image_2.jpg,up,1.0613781999563798
A3,images/image_3.jpg,left,0.8330543000483885
A3,images/image_4.jpg,left,1.4298392999917269
A3,images/image_5.jpg,up,4.026503299945034
A3,images/image_6.jpg,,1.0
A3,images/image_7.jpg,up,0.7181023999582976
A3,images/image_8.jpg,up,0.475410700077191
A3,images/image_9.jpg,up,0.4071092000231147
A3,images/image_10.jpg,,1.0
A3,images/image_6.jpg,,5.0
A3,images/image_7.jpg,up,1.4173531000269577
A3,images/image_8.jpg,up,0.4765047000255435
A3,images/image_9.jpg,up,0.6702116999076679
A3,images/image_10.jpg,left,0.6884038000134751
A3,images/image_11.jpg,,1.0
A3,images/image_12.jpg,left,0.4795883999904617
A3,images/image_13.jpg,left,0.5292184998979792
A3,images/image_14.jpg,left,0.683925100020133
A3,images/image_15.jpg,up,0.7819345999741927
A3,images/image_11.jpg,left,1.4237741000251845
A3,images/image_12.jpg,left,0.4457437000237405
A3,images/image_13.jpg,left,0.2484160000458359
A3,images/image_14.jpg,left,0.7899500000057742
A3,images/image_15.jpg,up,2.624100999906659
A3,images/image_16.jpg,left,0.9229653999209404
A3,images/image_17.jpg,left,0.4565009999787435
A3,images/image_18.jpg,up,0.9632624000078068
A3,images/image_19.jpg,,1.0
A3,images/image_20.jpg,,1.0
A3,images/image_16.jpg,left,2.1636847999179736
A3,images/image_17.jpg,left,0.6988331000320613
A3,images/image_18.jpg,up,0.687255600001663
A3,images/image_19.jpg,left,1.1224231000524014
A3,images/image_20.jpg,left,0.8026238000020385
A3,images/image_21.jpg,up,0.9615316999843344
A3,images/image_22.jpg,up,0.4153608999913558
A3,images/image_23.jpg,up,0.9382576999487356
A3,images/image_24.jpg,up,0.564461600035429
A3,images/image_25.jpg,,1.0
A3,images/image_21.jpg,up,0.8922864000778645
A3,images/image_22.jpg,up,0.2010199000360444
A3,images/image_23.jpg,up,0.2794363000430166
A3,images/image_24.jpg,up,0.6145060999551788
A3,images/image_25.jpg,left,0.6348187999101356
A3,images/image_26.jpg,,1.0
A3,images/image_27.jpg,left,0.7284356000600383
A3,images/image_28.jpg,,1.0
A3,images/image_29.jpg,,1.0
A3,images/image_30.jpg,left,0.973143499926664
A3,images/image_26.jpg,up,1.2831747999880465
A3,images/image_27.jpg,left,0.7324827000265941
A3,images/image_28.jpg,left,0.7722032000310719
A3,images/image_29.jpg,left,1.0209236000664532
A3,images/image_30.jpg,left,0.7622045000316575
A3,images/image_31.jpg,,1.0
A3,images/image_32.jpg,left,0.8466318000573665
A3,images/image_33.jpg,up,0.7474216000409797
A3,images/image_34.jpg,left,0.7506277000065893
A3,images/image_35.jpg,left,0.5706031000008807
A3,images/image_31.jpg,up,1.1229356999974698
A3,images/image_32.jpg,left,0.8505673001054674
A3,images/image_33.jpg,up,0.8451077000936493
A3,images/image_34.jpg,left,1.291995600098744
A3,images/image_35.jpg,left,0.4649090999737382
A4,images/image_1.jpg,up,0.9319708000402898
A4,images/image_2.jpg,up,0.8857034000102431
A4,images/image_3.jpg,left,0.5209476000163704
A4,images/image_4.jpg,,1.0
A4,images/image_5.jpg,,1.0
A4,images/image_1.jpg,up,2.8172352999681607
A4,images/image_2.jpg,up,0.8161287000402808
A4,images/image_3.jpg,left,0.9143904000520706
A4,images/image_4.jpg,left,1.526367900078185
A4,images/image_5.jpg,left,1.233847300056368
A4,images/image_6.jpg,up,0.7730911000398919
A4,images/image_7.jpg,,1.0
A4,images/image_8.jpg,,1.0
A4,images/image_9.jpg,left,0.9102711000014096
A4,images/image_10.jpg,,1.0
A4,images/image_6.jpg,up,1.97820699994918
A4,images/image_7.jpg,left,1.235760199953802
A4,images/image_8.jpg,up,1.4758157000178471
A4,images/image_9.jpg,left,1.4583194999722764
A4,images/image_10.jpg,left,2.010165399988182
A4,images/image_11.jpg,left,0.9878784000175074
A4,images/image_12.jpg,left,0.8057133998954669
A4,images/image_13.jpg,left,0.7004393000388518
A4,images/image_14.jpg,left,0.751774900010787
A4,images/image_15.jpg,,1.0
A4,images/image_11.jpg,left,0.8968239000532776
A4,images/image_12.jpg,left,0.6351150999544188
A4,images/image_13.jpg,left,0.5123595000477508
A4,images/image_14.jpg,left,0.4798200000077486
A4,images/image_15.jpg,left,0.6962199999252334
A4,images/image_16.jpg,left,0.9135610999073832
A4,images/image_17.jpg,left,0.4919699999736622
A4,images/image_18.jpg,left,0.8904911000281572
A4,images/image_19.jpg,left,0.9583357999799772
A4,images/image_20.jpg,,1.0
A4,images/image_16.jpg,left,0.8916753000812605
A4,images/image_17.jpg,left,0.8106599999591708
A4,images/image_18.jpg,left,0.9486236999509856
A4,images/image_19.jpg,left,0.7272635999834165
A4,images/image_20.jpg,left,1.911053300020285
A4,images/image_21.jpg,,1.0
A4,images/image_22.jpg,up,0.8585390000371262
A4,images/image_23.jpg,up,0.9554263999452814
A4,images/image_24.jpg,left,0.5696968000847846
A4,images/image_25.jpg,left,0.9312558000674472
A4,images/image_21.jpg,left,1.1938030000310391
A4,images/image_22.jpg,up,2.680506599950604
A4,images/image_23.jpg,up,2.083341300021857
A4,images/image_24.jpg,left,0.6575610999716446
A4,images/image_25.jpg,left,0.852926200022921
A4,images/image_26.jpg,left,0.9207693999633192
A4,images/image_27.jpg,left,0.7241309001110494
A4,images/image_28.jpg,,1.0
A4,images/image_29.jpg,left,0.8160833999281749
A4,images/image_30.jpg,left,0.8131153000285849
A4,images/image_26.jpg,left,1.0992364999838171
A4,images/image_27.jpg,left,0.928099500015378
A4,images/image_28.jpg,left,0.6765130000421777
A4,images/image_29.jpg,left,0.6045766000170261
A4,images/image_30.jpg,left,0.9444292000262068
A4,images/image_31.jpg,left,0.7536201999755576
A4,images/image_32.jpg,left,0.6993908999720588
A4,images/image_33.jpg,left,0.4514944999245927
A4,images/image_34.jpg,left,0.4880728999851271
A4,images/image_35.jpg,left,0.4818854999030009
A4,images/image_31.jpg,left,0.5561891000252217
A4,images/image_32.jpg,left,0.388723700074479
A4,images/image_33.jpg,left,0.3748952000169083
A4,images/image_34.jpg,left,0.389363499940373
A4,images/image_35.jpg,left,0.4042611999902874
A5,images/image_1.jpg,left,0.6571126999915577
A5,images/image_2.jpg,,1.0
A5,images/image_3.jpg,left,0.6294815000146627
A5,images/image_4.jpg,left,0.4768841000040993
A5,images/image_5.jpg,left,0.5853671999648213
A5,images/image_1.jpg,left,0.6710380999720655
